IsEdible,Odor,Surface
Edible,None,Fibrous
Edible,None,Fibrous
Edible,None,Smooth
Edible,None,Scaly
Edible,None,Fibrous
Poisonous,Foul,Fibrous
Edible,None,Scaly
Poisonous,Foul,Fibrous
Poisonous,Creosote,Fibrous
Poisonous,Foul,Fibrous
Poisonous,Fishy,Scaly
Poisonous,Pungent,Scaly
Poisonous,Foul,Smooth
Edible,None,Scaly
Poisonous,Spicy,Smooth
Poisonous,Fishy,Smooth
Poisonous,Foul,Fibrous
Edible,None,Smooth
Edible,Almond,Smooth
Edible,Anise,Smooth
Poisonous,Fishy,Scaly
Poisonous,Fishy,Smooth
Edible,None,Fibrous
Edible,Almond,Scaly
Poisonous,Foul,Scaly
Poisonous,Foul,Smooth
Poisonous,Foul,Fibrous
Poisonous,Foul,Fibrous
Poisonous,Foul,Fibrous
Edible,None,Fibrous
Edible,None,Smooth
Poisonous,Fishy,Smooth
Edible,None,Fibrous
Edible,None,Fibrous
Edible,None,Fibrous
Poisonous,Foul,Scaly
Edible,Almond,Smooth
Poisonous,Foul,Smooth
Poisonous,Fishy,Smooth
Poisonous,Foul,Scaly
Poisonous,Foul,Fibrous
Edible,None,Fibrous
Edible,None,Scaly
Poisonous,Foul,Scaly
Poisonous,Pungent,Scaly
Edible,None,Fibrous
Poisonous,None,Scaly
Poisonous,Fishy,Smooth
Poisonous,Fishy,Scaly
Edible,None,Scaly
Poisonous,Pungent,Smooth
Edible,Anise,Scaly
Edible,None,Fibrous
Poisonous,Foul,Scaly
Poisonous,Fishy,Scaly
Edible,Almond,Smooth
Poisonous,Foul,Scaly
Poisonous,Foul,Smooth
Edible,None,Scaly
Poisonous,Foul,Smooth
Edible,None,Fibrous
Poisonous,Foul,Scaly
Edible,None,Fibrous
Edible,None,Fibrous
Edible,Anise,Scaly
Edible,None,Smooth
Edible,None,Fibrous
Poisonous,Foul,Smooth
Poisonous,Creosote,Fibrous
Poisonous,Spicy,Smooth
Poisonous,Foul,Scaly
Poisonous,Pungent,Smooth
Edible,None,Scaly
Edible,Anise,Scaly
Poisonous,Foul,Fibrous
Edible,None,Scaly
Poisonous,Spicy,Smooth
Edible,Anise,Smooth
Edible,None,Smooth
Poisonous,Foul,Scaly
Poisonous,Spicy,Smooth
Edible,None,Fibrous
Poisonous,Foul,Scaly
Edible,None,Scaly
Edible,Anise,Scaly
Edible,None,Smooth
Edible,Anise,Smooth
Edible,None,Scaly
Poisonous,Foul,Fibrous
Edible,None,Scaly
Edible,Almond,Scaly
Edible,Anise,Scaly
Edible,None,Scaly
Edible,Anise,Scaly
Poisonous,Fishy,Scaly
Edible,Anise,Smooth
Poisonous,Foul,Smooth
Edible,None,Fibrous
Edible,None,Scaly
Poisonous,Foul,Scaly
Edible,Almond,Smooth
Edible,None,Smooth
Poisonous,Foul,Scaly
Poisonous,Pungent,Smooth
Poisonous,Spicy,Smooth
Poisonous,None,Smooth
Poisonous,Foul,Scaly
Edible,None,Fibrous
Poisonous,Creosote,Smooth
Edible,None,Fibrous
Edible,None,Scaly
Edible,None,Smooth
Poisonous,Foul,Scaly
Poisonous,Foul,Scaly
Edible,None,Fibrous
Edible,None,Fibrous
Edible,Anise,Smooth
Edible,None,Scaly
Edible,None,Fibrous
Poisonous,Foul,Smooth
Edible,None,Fibrous
Poisonous,Foul,Fibrous
Poisonous,Foul,Scaly
Edible,Almond,Scaly
Poisonous,Foul,Fibrous
Poisonous,Foul,Scaly
Poisonous,Foul,Fibrous
Poisonous,Spicy,Smooth
Edible,None,Fibrous
Poisonous,Foul,Smooth
Edible,Anise,Scaly
Edible,None,Scaly
Poisonous,Pungent,Scaly
Edible,None,Scaly
Edible,None,Fibrous
Poisonous,Pungent,Smooth
Edible,None,Scaly
Edible,Anise,Scaly
Edible,None,Fibrous
Poisonous,Spicy,Smooth
Edible,None,Fibrous
Poisonous,Foul,Smooth
Edible,None,Fibrous
Poisonous,Foul,Scaly
Edible,None,Fibrous
Edible,None,Scaly
Poisonous,Foul,Fibrous
Poisonous,Foul,Scaly
Poisonous,Foul,Fibrous
Edible,None,Fibrous
Edible,Anise,Scaly
Poisonous,Creosote,Fibrous
Poisonous,Fishy,Smooth
Edible,None,Scaly
Edible,None,Smooth
Edible,Anise,Smooth
Poisonous,Spicy,Scaly
Poisonous,Foul,Fibrous
Poisonous,Foul,Fibrous
Edible,None,Fibrous
Poisonous,Foul,Scaly
Edible,None,Scaly
Poisonous,Foul,Scaly
Poisonous,Foul,Scaly
Edible,None,Smooth
Edible,Almond,Scaly
Poisonous,Foul,Scaly
Poisonous,Foul,Smooth
Edible,Anise,Scaly
Edible,None,Scaly
Edible,None,Scaly
Edible,None,Scaly
Poisonous,Fishy,Smooth
Edible,Almond,Scaly
Poisonous,Fishy,Smooth
Edible,None,Smooth
Edible,Almond,Scaly
Edible,None,Scaly
Poisonous,Foul,Scaly
Poisonous,Fishy,Smooth
Edible,Almond,Scaly
Poisonous,Foul,Scaly
Edible,None,Fibrous
Edible,None,Scaly
Edible,None,Smooth
Poisonous,Foul,Smooth
Poisonous,Foul,Scaly
Edible,Almond,Scaly
Poisonous,Fishy,Scaly
Poisonous,Foul,Fibrous
Edible,None,Fibrous
Edible,None,Smooth
Poisonous,Foul,Fibrous
Poisonous,Fishy,Smooth
Edible,Almond,Scaly
Poisonous,Foul,Smooth
Poisonous,Foul,Scaly
Poisonous,Fishy,Scaly
Edible,None,Fibrous
Poisonous,Foul,Scaly