DATE,Avg Temperature,Min Temperature,Max Temperature,Precipitation,Average daily wind speed,Snowfall,Snow Depth
2015-01-01,0.5,-3.2,5.6,0,1.2,0,0
2015-01-02,1.7,0,5.6,1.5,2.3,0,0
2015-01-03,3.6,1.7,5,0,1.7,0,0
2015-01-04,4.6,3.3,10.6,10.2,4.5,0,0
2015-01-05,10.7,9.4,12.2,8.1,6.4,0,0
2015-01-06,10.3,6.1,12.2,0,1.3,0,0
2015-01-07,7.2,5.6,7.8,0,1.6,0,0
2015-01-08,5.2,1.7,7.8,0,2.6,0,0
2015-01-09,4.6,3.3,10,0.3,0.6,0,0
2015-01-10,7,6.1,7.8,5.8,0.5,0,0
2015-01-11,7.9,7.2,9.4,1.5,1.1,0,0
2015-01-12,7.8,4.4,11.1,0,1.6,0,0
2015-01-13,6.3,2.8,9.4,0,2.7,0,0
2015-01-14,3.6,0.6,6.1,0,2.8,0,0
2015-01-15,4.3,1.1,7.8,9.7,3.2,0,0
2015-01-16,8.1,5.6,11.7,0,4.5,0,0
2015-01-17,6.7,3.3,13.3,26.2,2.8,0,0
2015-01-18,10.1,7.2,13.9,21.3,6.6,0,0
2015-01-19,8.2,6.1,10,0.5,2.8,0,0
2015-01-20,6.3,3.3,10,0,3,0,0
2015-01-21,4.3,-0.5,7.2,0,1.3,0,0
2015-01-22,6.6,6.1,9.4,0.8,1.3,0,0
2015-01-23,9.3,8.3,12.2,5.8,2.6,0,0
2015-01-24,12.1,11.1,14.4,0.5,3.3,0,0
2015-01-25,12.8,7.2,17.2,0,1.4,0,0
2015-01-26,10.1,6.1,16.1,0,2.2,0,0
2015-01-27,10.8,8.3,11.1,0.8,2,0,0
2015-01-28,9.1,5,12.2,0,1.8,0,0
2015-01-29,7.2,3.3,12.2,0,2.9,0,0
2015-01-30,5.2,1.1,8.3,0,0.8,0,0
2015-01-31,4.3,3.3,7.2,0,1.9,0,0
2015-02-01,6.1,4.4,9.4,1.5,2.6,0,0
2015-02-02,7.7,5,11.1,7.4,4,0,0
2015-02-03,8.8,5.6,10,1.3,1.9,0,0
2015-02-04,7.3,4.4,10.6,8.4,1.7,0,0
2015-02-05,9.8,8.3,13.3,26.2,4.6,0,0
2015-02-06,12.6,10,14.4,17.3,4.5,0,0
2015-02-07,11.2,9.4,12.2,23.6,4.6,0,0
2015-02-08,10.9,8.3,15,3.6,3.9,0,0
2015-02-09,11.3,8.3,13.3,6.1,2.5,0,0
2015-02-10,11.1,8.3,12.8,0.3,4,0,0
2015-02-11,8.7,5.6,12.8,0,1,0,0
2015-02-12,11.3,9.4,16.7,1,2.1,0,0
2015-02-13,11.3,6.7,15.6,0,1.7,0,0
2015-02-14,11.7,6.7,14.4,0.3,2.9,0,0
2015-02-15,8.2,3.9,12.2,0,4.8,0,0
2015-02-16,8.5,5.6,15,0,6.6,0,0
2015-02-17,9.4,4.4,16.1,0,4,0,0
2015-02-18,8.8,4.4,12.2,0,2.6,0,0
2015-02-19,9.8,8.3,10.6,4.6,2.2,0,0
2015-02-20,9.5,7.2,11.1,0.8,0.9,0,0
2015-02-21,8.5,5.6,12.2,0,4.5,0,0
2015-02-22,8.3,3.3,11.7,0,4.2,0,0
2015-02-23,6.3,0.6,12.8,0,1.4,0,0
2015-02-24,7.3,2.2,11.1,0,1.5,0,0
2015-02-25,8.1,6.7,10,4.1,1,0,0
2015-02-26,8.9,7.8,11.7,9.4,1.4,0,0
2015-02-27,9.2,6.7,10,18.3,4,0,0
2015-02-28,8.1,3.3,12.2,0,5.1,0,0
2015-03-01,6.5,1.1,11.1,0,2.2,0,0
2015-03-02,7.6,4.4,11.1,0,4.8,0,0
2015-03-03,6.1,0,10.6,0,2.1,0,0
2015-03-04,5.2,-0.5,12.8,0,1.8,0,0
2015-03-05,7.6,2.8,13.3,0,1.3,0,0
2015-03-06,9,3.3,15,0,1.4,0,0
2015-03-07,9.5,3.9,16.7,0,2.7,0,0
2015-03-08,10.2,3.9,17.2,0,1.7,0,0
2015-03-09,10,4.4,14.4,0,1.8,0,0
2015-03-10,8.6,5,13.3,0.8,2.6,0,0
2015-03-11,11.6,8.9,14.4,2.5,3.1,0,0
2015-03-12,12.9,9.4,17.8,0,3.2,0,0
2015-03-13,12.9,7.8,17.2,2,2.2,0,0
2015-03-14,13.3,9.4,13.9,17,3.8,0,0
2015-03-15,9.6,6.1,10.6,55.9,4.2,0,0
2015-03-16,8.4,6.1,13.9,1,3,0,0
2015-03-17,9.1,4.4,13.3,0.8,2.6,0,0
2015-03-18,10.3,7.2,15.6,0,2.5,0,0
2015-03-19,11.3,8.3,15.6,0,1.9,0,0
2015-03-20,11.9,8.9,13.9,4.1,1.9,0,0
2015-03-21,10.8,8.3,13.3,3.8,4.7,0,0
2015-03-22,9.1,6.1,11.7,1,2.3,0,0
2015-03-23,8,5.6,11.1,8.1,2.8,0,0
2015-03-24,8.3,6.1,12.8,7.6,3.9,0,0
2015-03-25,10.1,7.2,14.4,5.1,4.4,0,0
2015-03-26,13.9,10,20.6,0,2.2,0,0
2015-03-27,14.2,8.9,18.3,1,4,0,0
2015-03-28,12.1,9.4,15.6,0,5.7,0,0
2015-03-29,11.6,8.9,15.6,0,3,0,0
2015-03-30,13.3,10.6,17.8,1.8,2.9,0,0
2015-03-31,11.4,6.1,12.8,1,4.2,0,0
2015-04-01,8.1,5.6,12.8,5.1,3.2,0,0
2015-04-02,8.1,5.6,13.3,0,2.4,0,0
2015-04-03,8.6,5,11.1,1.5,3.6,0,0
2015-04-04,7.6,3.9,12.8,0,1.7,0,0
2015-04-05,8.7,2.8,16.7,0,2.4,0,0
2015-04-06,9.7,6.7,13.9,1,3.5,0,0
2015-04-07,9.7,6.7,14.4,0.5,3.9,0,0
2015-04-08,10.8,6.1,17.2,0,1.7,0,0
2015-04-09,10.4,6.1,17.2,0,2.3,0,0
2015-04-10,11.5,7.8,13.9,10.9,4.6,0,0
2015-04-11,8.7,5.6,11.7,0,6.5,0,0
2015-04-12,8.6,5.6,13.3,0,3.6,0,0
2015-04-13,9.1,3.9,11.7,14,3.6,0,0
2015-04-14,5.7,2.8,11.7,3.3,3.3,0,0
2015-04-15,7.4,3.3,13.9,0,2.4,0,0
2015-04-16,10.4,3.9,17.8,0,3.1,0,0
2015-04-17,12.7,6.1,18.9,0,3.6,0,0
2015-04-18,13.2,8.3,18.9,0,3.9,0,0
2015-04-19,13.8,8.3,21.1,0,3.6,0,0
2015-04-20,15.1,7.8,22.8,0,2.6,0,0
2015-04-21,15.2,6.7,17.2,5.6,3.4,0,0
2015-04-22,9.1,5,15.6,0,2.3,0,0
2015-04-23,9.6,6.7,12.2,3,4.1,0,0
2015-04-24,8.4,6.1,12.2,3.3,5,0,0
2015-04-25,8.8,5.6,13.3,1.3,3,0,0
2015-04-26,9.1,4.4,15.6,0,2.7,0,0
2015-04-27,14.6,10.6,25,0.3,2.3,0,0
2015-04-28,15.8,8.9,15.6,1.8,4.3,0,0
2015-04-29,10.7,7.2,16.1,0,4.7,0,0
2015-04-30,11.5,7.8,17.2,0,2.1,0,0
2015-05-01,13.6,8.9,18.3,0,3.7,0,0
2015-05-02,13,7.8,18.3,0,3.7,0,0
2015-05-03,13.2,7.8,20.6,0,2.6,0,0
2015-05-04,13.2,7.2,17.2,0,5.2,0,0
2015-05-05,11.1,7.2,14.4,6.1,5.1,0,0
2015-05-06,9.9,7.2,16.7,0,2.6,0,0
2015-05-07,12.7,6.1,20.6,0,3,0,0
2015-05-08,15.5,8.3,23.9,0,3,0,0
2015-05-09,17.7,9.4,26.7,0,2.6,0,0
2015-05-10,16.8,11.1,19.4,0,2.8,0,0
2015-05-11,12.8,10,13.9,0,2.5,0,0
2015-05-12,11.8,10.6,15.6,4.3,3.3,0,0
2015-05-13,11.8,10,12.2,4.1,2.8,0,0
2015-05-14,11.6,9.4,17.8,0.3,2,0,0
2015-05-15,13.3,9.4,20,0,2.8,0,0
2015-05-16,13.2,11.1,15.6,0,3,0,0
2015-05-17,13.7,10.6,19.4,0,2.1,0,0
2015-05-18,16.9,12.2,25.6,0,3,0,0
2015-05-19,16.5,11.7,21.7,0,2.6,0,0
2015-05-20,14.6,10.6,23.3,0,1.8,0,0
2015-05-21,17.7,11.7,25.6,0,2.1,0,0
2015-05-22,15.9,11.7,16.7,0,3.7,0,0
2015-05-23,13.2,11.7,16.1,0,2.6,0,0
2015-05-24,13.9,11.1,17.8,0,2.7,0,0
2015-05-25,13.4,11.1,15.6,0,2.7,0,0
2015-05-26,14.2,11.7,21.7,0,2.1,0,0
2015-05-27,17.1,11.7,24.4,0,1.8,0,0
2015-05-28,19.1,12.2,27.8,0,2.1,0,0
2015-05-29,19.9,12.8,26.1,0,2.5,0,0
2015-05-30,16.1,10,22.8,0,2.5,0,0
2015-05-31,16.9,11.7,25,0,2.2,0,0
2015-06-01,15.5,11.7,16.1,4.6,3.4,0,0
2015-06-02,14.2,12.8,17.8,0.5,5,0,0
2015-06-03,14.3,11.7,20,0,3,0,0
2015-06-04,16.2,11.7,22.8,0,3.9,0,0
2015-06-05,19,12.8,26.7,0,4.3,0,0
2015-06-06,20.8,13.3,29.4,0,2.6,0,0
2015-06-07,23.1,15.6,31.1,0,3.2,0,0
2015-06-08,23.1,14.4,30.6,0,3.5,0,0
2015-06-09,22.4,14.4,28.9,0,2.7,0,0
2015-06-10,18.4,11.1,25.6,0,3,0,0
2015-06-11,17.4,11.1,24.4,0,3.5,0,0
2015-06-12,16.1,11.7,20,0,2.3,0,0
2015-06-13,15.3,9.4,23.9,0,2.6,0,0
2015-06-14,19.1,11.7,27.8,0,3.7,0,0
2015-06-15,21.9,16.1,30,0,3.5,0,0
2015-06-16,17.9,11.1,22.8,0,3,0,0
2015-06-17,16.7,11.1,25,0,3.1,0,0
2015-06-18,19.1,13.9,24.4,0,3,0,0
2015-06-19,17.3,13.3,23.9,0.5,3.2,0,0
2015-06-20,18,12.8,25,0,4.3,0,0
2015-06-21,18.7,13.9,25.6,0,3.4,0,0
2015-06-22,18.9,12.8,25,0,2.4,0,0
2015-06-23,17.8,11.7,26.1,0,2.4,0,0
2015-06-24,21.1,16.1,25.6,0,2.6,0,0
2015-06-25,21.7,15.6,30.6,0,3,0,0
2015-06-26,24.3,17.8,31.7,0,4.7,0,0
2015-06-27,25.1,17.2,33.3,0,3.9,0,0
2015-06-28,25.2,18.3,28.3,0.3,2.1,0,0
2015-06-29,22.5,17.2,28.9,0,2.7,0,0
2015-06-30,21.2,15,30.6,0,3.4,0,0
2015-07-01,24.5,17.2,32.2,0,4.3,0,0
2015-07-02,26.3,17.8,33.9,0,3.4,0,0
2015-07-03,26.4,17.8,33.3,0,2.6,0,0
2015-07-04,24.4,15,33.3,0,2.9,0,0
2015-07-05,25.9,16.7,32.8,0,2.1,0,0
2015-07-06,23,15.6,29.4,0,3.2,0,0
2015-07-07,20,13.9,27.2,0,2.4,0,0
2015-07-08,20.4,14.4,30,0,1.9,0,0
2015-07-09,21.5,14.4,28.9,0,3.4,0,0
2015-07-10,19.3,16.7,21.1,0,3.7,0,0
2015-07-11,18.3,16.7,22.2,0,3,0,0
2015-07-12,19.1,16.7,26.1,0,2.2,0,0
2015-07-13,20,16.1,25.6,0,3.1,0,0
2015-07-14,20.6,16.1,27.8,0,3.3,0,0
2015-07-15,20.7,14.4,26.1,0,3.2,0,0
2015-07-16,20.1,15,26.1,0,2.8,0,0
2015-07-17,20.1,13.9,27.8,0,3.3,0,0
2015-07-18,23.9,17.8,33.3,0,3.4,0,0
2015-07-19,27.6,17.2,35,0,3.3,0,0
2015-07-20,21.7,16.7,26.7,0,3.9,0,0
2015-07-21,19.4,15,23.9,0,2.4,0,0
2015-07-22,18.2,13.9,23.9,0,2.8,0,0
2015-07-23,18.6,14.4,26.1,0,1.9,0,0
2015-07-24,18.8,13.3,22.8,0.3,3.8,0,0
2015-07-25,18.1,14.4,21.1,0,2.4,0,0
2015-07-26,17,13.9,22.2,2,2.6,0,0
2015-07-27,15.9,12.2,23.3,0,1.9,0,0
2015-07-28,19.9,13.9,27.8,0,3.4,0,0
2015-07-29,22.6,14.4,32.2,0,3.8,0,0
2015-07-30,25.3,17.2,34.4,0,3.5,0,0
2015-07-31,26.6,17.8,34.4,0,2.6,0,0
2015-08-01,25.3,15.6,33.3,0,3.1,0,0
2015-08-02,24.2,16.1,30.6,0,2,0,0
2015-08-03,22.6,17.2,28.3,0,2.3,0,0
2015-08-04,19.8,14.4,26.1,0,2.6,0,0
2015-08-05,17.9,12.2,23.3,0,3.5,0,0
2015-08-06,18.4,15,25,0,2.9,0,0
2015-08-07,20.4,15.6,28.3,0,3.7,0,0
2015-08-08,20.6,15.6,25,0,3.6,0,0
2015-08-09,19.5,15,28.3,0,2.2,0,0
2015-08-10,21.8,16.1,28.9,0,2.4,0,0
2015-08-11,22.7,16.7,30,0,4.4,0,0
2015-08-12,23.4,16.7,28.3,7.6,2.7,0,0
2015-08-13,21.8,15.6,28.3,0,2.2,0,0
2015-08-14,19.2,15,18.3,30.5,5.2,0,0
2015-08-15,16.5,13.9,21.7,0,3.7,0,0
2015-08-16,18.2,14.4,25,0,3.7,0,0
2015-08-17,19.8,13.9,27.2,0,3,0,0
2015-08-18,22.1,15,30,0,3,0,0
2015-08-19,23.8,16.1,31.7,0,2.1,0,0
2015-08-20,20,14.4,22.8,2,4.2,0,0
2015-08-21,16.9,14.4,22.2,0,2.6,0,0
2015-08-22,18.2,12.2,26.7,0,2.5,0,0
2015-08-23,20.1,13.9,27.8,0,1.8,0,0
2015-08-24,18.6,12.2,23.9,0,2.3,0,0
2015-08-25,18.3,12.2,25.6,0,3.4,0,0
2015-08-26,19.8,13.9,28.3,0,1.7,0,0
2015-08-27,20.9,14.4,29.4,0,2.1,0,0
2015-08-28,21.3,15.6,23.3,0.5,2.6,0,0
2015-08-29,19.3,13.3,22.2,32.5,5.8,0,0
2015-08-30,15.9,12.8,20,10.2,4.7,0,0
2015-08-31,17.3,16.1,18.9,0,5.8,0,0
2015-09-01,17,13.9,19.4,5.8,5,0,0
2015-09-02,15.2,11.1,19.4,0,3.8,0,0
2015-09-03,13.9,10.6,18.3,0,2.9,0,0
2015-09-04,13.2,10,18.3,0,2.9,0,0
2015-09-05,13.4,8.9,20.6,0.3,3.5,0,0
2015-09-06,14.2,11.7,16.1,5.3,2.4,0,0
2015-09-07,15.4,13.3,21.1,0.3,1.5,0,0
2015-09-08,17.2,13.3,22.8,0,2.4,0,0
2015-09-09,18.5,13.9,24.4,0,3.3,0,0
2015-09-10,19.1,14.4,25,0,3.6,0,0
2015-09-11,20.1,15,27.2,0,3.1,0,0
2015-09-12,20.6,14.4,26.7,0,2.1,0,0
2015-09-13,18.1,12.8,20.6,0.5,3,0,0
2015-09-14,13.9,10.6,16.7,0,3.4,0,0
2015-09-15,13.4,10,17.8,0,2.8,0,0
2015-09-16,13.8,10,20,1,1.9,0,0
2015-09-17,15.4,12.8,18.3,1.8,3.8,0,0
2015-09-18,15.5,12.8,19.4,0,2.6,0,0
2015-09-19,17.1,14.4,21.1,0,4.3,0,0
2015-09-20,19.1,12.2,22.8,4.1,6.8,0,0
2015-09-21,14.9,9.4,18.3,0,2.7,0,0
2015-09-22,13.1,7.8,18.9,0,2,0,0
2015-09-23,13.7,8.3,20.6,0,1.8,0,0
2015-09-24,16.3,11.1,22.2,0,2.5,0,0
2015-09-25,15.5,12.8,15.6,2,2.6,0,0
2015-09-26,13.7,10,18.3,0,2.7,0,0
2015-09-27,12.3,7.2,17.8,0,3.8,0,0
2015-09-28,13.3,9.4,21.1,0,5.1,0,0
2015-09-29,14.8,8.9,21.7,0,1.9,0,0
2015-09-30,13.9,10,18.3,0,1.3,0,0
2015-10-01,14.2,9.4,21.1,0,1.3,0,0
2015-10-02,13.8,10,15.6,0,2.9,0,0
2015-10-03,14.2,11.1,19.4,0,4.8,0,0
2015-10-04,15.3,10,22.8,0,3.7,0,0
2015-10-05,15.6,9.4,23.3,0,1.6,0,0
2015-10-06,14.9,10,18.3,0,2.6,0,0
2015-10-07,14.6,13.9,16.1,9.9,2.2,0,0
2015-10-08,15.3,13.3,18.9,0,1.1,0,0
2015-10-09,16,12.2,19.4,0.3,2.6,0,0
2015-10-10,17.5,13.3,21.1,28.7,4.7,0,0
2015-10-11,14.1,10.6,17.8,0,2.6,0,0
2015-10-12,14.1,10.6,18.3,4.6,2.8,0,0
2015-10-13,14.2,9.4,16.7,1.3,3.2,0,0
2015-10-14,11.7,10,15,0,5,0,0
2015-10-15,12.6,9.4,21.1,0,3.4,0,0
2015-10-16,13.8,8.9,20,0,1.3,0,0
2015-10-17,14.9,11.7,19.4,0.3,1.3,0,0
2015-10-18,14.1,12.8,15,3.8,2,0,0
2015-10-19,14.7,12.2,17.2,0.3,2.6,0,0
2015-10-20,14.1,10.6,17.8,0,1.8,0,0
2015-10-21,12.3,8.3,16.1,0,1.3,0,0
2015-10-22,12.3,8.9,16.1,0,2.7,0,0
2015-10-23,10.6,7.2,12.8,0,2.6,0,0
2015-10-24,10.4,8.9,15,0,2.9,0,0
2015-10-25,12.3,8.9,19.4,8.9,3.4,0,0
2015-10-26,12,10,12.2,6.9,4.6,0,0
2015-10-27,11.6,7.8,16.1,0,1.7,0,0
2015-10-28,12.3,11.1,13.9,3.3,2.8,0,0
2015-10-29,13.1,12.2,15,1.8,4.7,0,0
2015-10-30,14.2,11.7,17.2,19.3,6.7,0,0
2015-10-31,13.9,11.7,15.6,33,7.2,0,0
2015-11-01,11.4,8.9,12.2,26.2,6,0,0
2015-11-02,10.3,7.2,11.1,0.3,2.8,0,0
2015-11-03,8.4,5,10.6,0.8,1.4,0,0
2015-11-04,6.6,3.3,10,0,2.2,0,0
2015-11-05,8.8,7.8,11.7,1.3,2.3,0,0
2015-11-06,10,8.3,15.6,0,2.7,0,0
2015-11-07,11.7,9.4,12.2,12.7,3,0,0
2015-11-08,10.1,7.8,11.1,6.6,1.8,0,0
2015-11-09,8.6,5,10,3.3,1.3,0,0
2015-11-10,7.2,3.9,11.1,1.3,3.9,0,0
2015-11-11,9.3,6.1,11.1,1.5,4.6,0,0
2015-11-12,7.2,5,11.1,9.9,5.1,0,0
2015-11-13,11.3,9.4,13.3,33.5,6.5,0,0
2015-11-14,9.3,6.1,9.4,47.2,4.5,0,0
2015-11-15,5.5,2.2,8.9,22.4,4.1,0,0
2015-11-16,4.8,1.7,8.9,2,4,0,0
2015-11-17,10.2,6.7,13.3,29.5,8,0,0
2015-11-18,7.4,3.3,8.9,1.5,3.8,0,0
2015-11-19,6.7,2.8,8.9,2,4.2,0,0
2015-11-20,3.9,0.6,8.3,0,4,0,0
2015-11-21,4.2,0.6,8.9,0,4.7,0,0
2015-11-22,4.6,1.7,10,0,3.1,0,0
2015-11-23,3.8,0,6.7,3,1.3,0,0
2015-11-24,5.2,2.8,6.7,7.1,4.5,0,0
2015-11-25,3.5,0,7.2,0,5.7,0,0
2015-11-26,3.4,-1,9.4,0,4.3,0,0
2015-11-27,3.4,-1.6,9.4,0,3,0,0
2015-11-28,2.1,-2.7,7.2,0,1,0,0
2015-11-29,1.1,-2.1,1.7,0,0.9,0,0
2015-11-30,-0.2,-3.8,5.6,0.5,1.7,0,0
2015-12-01,5.5,3.9,10,12.2,3.5,0,0
2015-12-02,6.1,4.4,10.6,2.5,5,0,0
2015-12-03,9.6,7.8,15.6,12.7,5.9,0,0
2015-12-04,8.8,6.1,10.6,2,4.7,0,0
2015-12-05,7.7,6.1,10,15.7,4,0,0
2015-12-06,9.1,7.2,12.8,11.2,5.9,0,0
2015-12-07,9.7,8.3,11.1,27.4,3.4,0,0
2015-12-08,11.3,10,15.6,54.1,6.2,0,0
2015-12-09,11.1,7.8,12.2,13.5,6.3,0,0
2015-12-10,9.2,6.1,11.7,9.4,7.5,0,0
2015-12-11,7,4.4,9.4,0.3,2.8,0,0
2015-12-12,6.5,5.6,8.9,16,5.6,0,0
2015-12-13,7.3,6.1,7.8,1.3,6.1,0,0
2015-12-14,6.1,1.7,7.8,0,1.7,0,0
2015-12-15,3.2,1.1,6.7,1.5,2.9,0,0
2015-12-16,5.3,2.8,6.1,3.6,2.3,0,0
2015-12-17,4.6,3.9,6.7,21.8,6,0,0
2015-12-18,6.1,4.4,8.9,18.5,5.1,0,0
2015-12-19,5,2.8,8.3,0,4.1,0,0
2015-12-20,6.9,4.4,7.8,4.3,6.7,0,0
2015-12-21,4.6,2.8,5.6,27.4,4.3,0,0
2015-12-22,4.8,2.8,7.8,4.6,5,0,0
2015-12-23,4.4,2.8,5,6.1,7.6,0,0
2015-12-24,3.7,2.2,5.6,2.5,4.3,0,0
2015-12-25,3.5,2.2,5,5.8,1.5,0,0
2015-12-26,2.5,0,4.4,0,2.5,0,0
2015-12-27,3.4,1.7,4.4,8.6,2.9,0,0
2015-12-28,2.7,1.7,5,1.5,1.3,0,0
2015-12-29,3.9,0.6,7.2,0,2.6,0,0
2015-12-30,2.1,-1,5.6,0,3.4,0,0
2015-12-31,1.2,-2.1,5.6,0,3.5,0,0